Abyssinian,Cat,Egypt,Medium; males 3.5-5 kg,12-15 years,"Active, playful, and intelligent",Short,"Various colors including ruddy, red, and blue",Minimal grooming,Moderate exercise; enjoys active play,Highly trainable with patience and consistency,"Curious, social, and affectionate",Prone to dental issues and kidney disease,"4,567"
American Bobtail,Cat,United States,Medium; males and females 3.5-5 kg,13-15 years,"Friendly, playful, and intelligent",Short or long,"Various colors including brown, black, and white",Regular grooming,Moderate exercise; enjoys interactive play,Trainable with positive reinforcement,"Lively, affectionate, and good with children",Prone to certain genetic disorders,"3,678"
American Shorthair,Cat,United States,Medium; males 4.5-5.5 kg,15-20 years,"Easygoing, friendly, and adaptable",Short,"Various colors including silver tabby, black, and blue",Minimal grooming,Low to moderate exercise; enjoys playtime,Moderately trainable with patience,"Gentle, affectionate, and good with families",Prone to obesity and dental issues,"4,123"
Balinese,Cat,United States,Medium; males 3.5-5 kg,15-20 years,"Playful, affectionate, and vocal",Long,"Various colors including cream, blue, and sable",Regular grooming,Moderate exercise; enjoys interactive play,Trainable with positive reinforcement,"Lively, affectionate, and good with children",Prone to certain genetic disorders and dental issues,"6,789"
Bengal,Cat,United States,Medium; males 4.5-5.5 kg,12-16 years,"Active, playful, and curious",Short,"Various colors including spotted, marbled, and rosette",Minimal grooming,High exercise; enjoys active play,Trainable with patience and consistency,"Energetic, playful, and intelligent",Prone to certain genetic disorders,"5,234"
Birman,Cat,Myanmar,Medium; males 4-6 kg,12-16 years,"Gentle, affectionate, and playful",Long,"Various colors including blue, seal, and lilac",Regular grooming,Moderate exercise; enjoys playtime,Trainable with positive reinforcement,"Affectionate, social, and good with families",Prone to certain genetic disorders and kidney disease,"7,345"
British Shorthair,Cat,United Kingdom,Large; males 4.5-7 kg,12-20 years,"Calm, easygoing, and friendly",Short,"Various colors including blue, black, and cream",Minimal grooming,Low to moderate exercise; enjoys relaxed play,Moderately trainable with patience,"Gentle, affectionate, and good with children",Prone to obesity and dental issues,"6,456"
Burmese,Cat,Burma,Medium; males 3.5-5 kg,12-16 years,"Affectionate, playful, and intelligent",Short,"Various colors including sable, champagne, and blue",Minimal grooming,Moderate exercise; enjoys interactive play,Trainable with positive reinforcement,"Affectionate, social, and playful",Prone to certain genetic disorders and dental issues,"5,678"
Chartreux,Cat,France,Medium; males 4-6 kg,12-15 years,"Quiet, affectionate, and intelligent",Short,"Various colors including blue, gray, and silver",Minimal grooming,Low to moderate exercise; enjoys playtime,Trainable with patience and positive reinforcement,"Gentle, affectionate, and good with families",Prone to certain genetic disorders and obesity,"4,890"
Cornish Rex,Cat,United Kingdom,Medium; males 3-5 kg,12-15 years,"Playful, affectionate, and active",Short,"Various colors including black, white, and blue",Minimal grooming,High exercise; enjoys active play,Highly trainable with patience and positive reinforcement,"Energetic, playful, and social",Prone to certain genetic disorders and skin issues,"5,456"
Devon Rex,Cat,United Kingdom,Medium; males 3-5 kg,12-15 years,"Playful, affectionate, and curious",Short,"Various colors including black, white, and cream",Minimal grooming,High exercise; enjoys active play,Highly trainable with positive reinforcement,"Lively, affectionate, and social",Prone to certain genetic disorders and skin issues,"6,789"
